1,Course ID,Course Name,Credit Hour,Semester of Student,Section,Teacher Name
107,CS352,Introduction to Soft Computing,3,6,C,Dr. Ahmar Rashid
108,CS352,Introduction to Soft Computing,3,6,D,Dr. Ahmar Rashid
109,CS364,Internet of Things,3,6,A,Ms. Nazia Shehzadi
110,CS364,Internet of Things,3,6,B,Ms. Nazia Shehzadi
111,CS364,Internet of Things,3,6,C,Ms. Nazia Shehzadi
112,CS364,Internet of Things,3,6,D,Ms. Nazia Shehzadi
113,CS373,Digital Image Processing,3,6,A,Dr. Fahad Bin Muslim
114,CS373,Digital Image Processing,3,6,B,Dr. Fahad Bin Muslim
115,CS373,Digital Image Processing,3,6,C,Dr. Fahad Bin Muslim
116,CS373,Digital Image Processing,3,6,D,Dr. Fahad Bin Muslim
